제품코드,제품명,업체명,규격,단위,급여구분,투여경로,약효분류번호,저가필수구분,전문일반구분,생동인정제품,주성분코드,임의조제불가구분,사용장려비용가산,상한가,예외약1,예외약2,적용개시일자,적용종료일자
650001890,잔탁정75밀리그램(라니티딘염산염),(주)글락소스미스클라인,1,정,급여,내복,232,,전문,,222805ATB,,0,342,,,2008-12-01,2009-01-31
A00400981,잔탁정,글락소스미스클라인,1,정,급여,내복,232,,전문,,222801ATB,,0,503,,,2007-12-01,2009-01-31
A00400981,잔탁정,글락소스미스클라인,1,정,급여,내복,232,,전문,,222801ATB,,0,504,,,2006-09-01,2007-11-30
A00400981,잔탁정,글락소스미스클라인,1,정,급여,내복,232,,전문,,222801ATB,,0,505,,,2006-06-01,2006-08-31
A00450061,잔탁정75mg,글락소스미스클라인,1,정,급여,내복,232,,전문,,222805ATB,,0,342,,,2006-06-01,2009-01-31
A00401051,잔탁주,글락소스미스클라인,1,앰플,삭제,주사,232,,전문,,222804BIJ,,0,0,52,,2006-04-01,
W20890481,잔탁주,글락소스미스클라인,2,ml/앰플,급여,주사,232,,전문,,222804BIJ,,0,949,,,2005-11-01,2010-04-30
650001060,잔탁주(라니티딘염산염),(주)글락소스미스클라인,2,ml/앰플,급여,주사,232,,전문,,222804BIJ,,0,949,,,2005-11-01,2011-06-30
A00400981,잔탁정,글락소스미스클라인,1,정,급여,내복,232,,전문,,222801ATB,,0,505,,,2005-08-01,2006-05-31
A00450061,잔탁정75mg,글락소스미스클라인,1,정,급여,내복,232,,전문,,222805ATB,,0,342,,,2005-01-10,2006-05-31
A00400981,잔탁정,글락소스미스클라인,1,정,급여,내복,232,,전문,,222801ATB,,0,506,,,2002-12-07,2005-07-31
A00450061,잔탁정75mg,글락소스미스클라인,1,정,미생산,내복,232,,전문,,222805ATB,,0,342,,,2002-12-07,2005-01-09
A00400981,잔탁정,글락소스미스클라인,1,정,급여,내복,232,,전문,,222801ATB,,0,506,,,2002-09-03,2002-12-06
A00450061,잔탁정75mg,글락소스미스클라인,1,정,미생산,내복,232,,전문,,222805ATB,,0,342,,,2002-09-03,2002-12-06
A00400981,잔탁정,글락소스미스클라인,1,정,급여,내복,232,,전문,,222801ATB,,0,506,,,2002-04-09,2002-09-02
A00450061,잔탁정75mg,글락소스미스클라인,1,정,미생산,내복,232,,전문,,222805ATB,,0,342,,,2002-04-09,2002-09-02
A00450061,잔탁정75mg,글락소스미스클라인,1,정,미생산,내복,232,,전문,,222805ATB,,0,342,,,2002-01-01,2002-04-08
A00400981,잔탁정,글락소스미스클라인,1,정,급여,내복,232,,전문,비교용출시험,222801ATB,,0,506,,,2001-11-23,2002-04-08
A00401051,잔탁주,글락소스미스클라인,1,앰플,급여,주사,232,,전문,,222804BIJ,,0,949,52,,2001-11-15,2006-03-31
A00400981,잔탁정,글락소스미스클라인,1,정,급여,내복,232,,전문,비교용출시험,222801ATB,,0,506,,,2001-04-01,2001-11-22
A00400981,잔탁정,글락소스미스클라인,1,정,급여,내복,232,,전문,비교용출시험,222801ATB,,0,510,,,2000-07-01,2001-03-31
A00450061,잔탁정75mg,글락소스미스클라인,1,정,급여,내복,232,,전문,,222805ATB,,0,342,,,2000-07-01,2001-12-31
A00401051,잔탁주,글락소스미스클라인,1,앰플,급여,주사,232,,전문,,222804BIJ,,0,949,51,,2000-07-01,2001-11-14
A00400981,잔탁정,글락소스미스클라인,1,정,급여,내복,232,,,,222801ATB,,0,510,,,1999-11-15,2000-06-30
A00450061,잔탁정75mg,글락소스미스클라인,1,정,급여,내복,232,,,,222805ATB,,0,342,,,1999-11-15,2000-06-30
A00401051,잔탁주,글락소스미스클라인,1,앰플,급여,주사,232,,,,222804BIJ,,0,949,,,1999-11-15,2000-06-30
A00400981,잔탁정,글락소스미스클라인,1,정,급여,내복,232,,,,222801ATB,,0,677,,,1998-02-01,1999-11-14
A00450061,잔탁정75mg,글락소스미스클라인,1,정,급여,내복,232,,,,222805ATB,,0,451,,,1998-02-01,1999-11-14
A00401051,잔탁주,글락소스미스클라인,1,앰플,급여,주사,232,,,,222804BIJ,,0,"1,306",,,1997-02-01,1999-11-14
A00401051,잔탁주,글락소스미스클라인,1,앰플,급여,주사,232,,,,222804BIJ,,0,"1,344",,,1994-05-01,1997-01-31
A00400981,잔탁정,글락소스미스클라인,1,정,급여,내복,232,,,,222801ATB,,0,630,,,1992-12-01,1998-01-31
A00400981,잔탁정,글락소스미스클라인,1,정,급여,내복,232,,,,222801ATB,,0,699,,,1992-02-01,1992-11-30
A00401051,잔탁주,글락소스미스클라인,1,앰플,급여,주사,232,,,,222804BIJ,,0,"1,457",,,1992-02-01,1994-04-30
A00400981,잔탁정,글락소스미스클라인,1,정,급여,내복,232,,,,222801ATB,,0,736,,,1991-01-01,1992-01-31
A00401051,잔탁주,글락소스미스클라인,1,앰플,급여,주사,232,,,,222804BIJ,,0,"1,556",,,1991-01-01,1992-01-31
A00400981,잔탁정,글락소스미스클라인,1,정,급여,내복,232,,,,222801ATB,,0,751,,,1990-09-01,1990-12-31
A00400981,잔탁정,글락소스미스클라인,1,정,급여,내복,232,,,,222801ATB,,0,759,,,1989-10-01,1990-08-31
A00401051,잔탁주,글락소스미스클라인,1,앰플,급여,주사,232,,,,222804BIJ,,0,"1,619",,,1989-10-01,1990-12-31
