성분코드,성분명,함량,단일복합,주성분코드,제형코드,투여경로,투여경로명,제형명칭,동일 제형군,함량수치,함량단위
223401AGN,retosteine,25mg,단일,223401AGN,GN,A,내복제,"과립제, 세립","GN, PD",25.0,mg
225302AGN,roxithromycin,50mg,단일,225302AGN,GN,A,내복제,"과립제, 세립","GN, PD",50.0,mg
226801AGN,serratiopeptidase,10mg,단일,226801AGN,GN,A,내복제,"과립제, 세립","GN, PD",10.0,mg
271000AGN,azulene sodium,2.94mg,복합,271000AGN,GN,A,내복제,"과립제, 세립","GN, PD",2.94,mg
271000AGN,glutamine,975mg,복합,271000AGN,GN,A,내복제,"과립제, 세립","GN, PD",975.0,mg
282300AGN,aluminum hydroxide gel(dried),270mg,복합,282300AGN,GN,A,내복제,"과립제, 세립","GN, PD",270.0,mg
282300AGN,magnesium trisilicate,100mg,복합,282300AGN,GN,A,내복제,"과립제, 세립","GN, PD",100.0,mg
293100AGN,plantaginis semen,619.4mg,복합,293100AGN,GN,A,내복제,"과립제, 세립","GN, PD",619.4,mg
293100AGN,sennae fructus,141.7mg,복합,293100AGN,GN,A,내복제,"과립제, 세립","GN, PD",141.7,mg
309600AGN,tegafur,100mg,복합,309600AGN,GN,A,내복제,"과립제, 세립","GN, PD",100.0,mg
309600AGN,uracil,224mg,복합,309600AGN,GN,A,내복제,"과립제, 세립","GN, PD",224.0,mg
309800AGN,tegafur,400mg,복합,309800AGN,GN,A,내복제,"과립제, 세립","GN, PD",400.0,mg
309800AGN,uracil,600mg,복합,309800AGN,GN,A,내복제,"과립제, 세립","GN, PD",600.0,mg
312500AGN,sodium bicarbonate,1.47g,복합,312500AGN,GN,A,내복제,"과립제, 세립","GN, PD",1.47,g
312500AGN,tartaric acid,1.47g,복합,312500AGN,GN,A,내복제,"과립제, 세립","GN, PD",1.47,g
312600AGN,sodium bicarbonate,1.92g,복합,312600AGN,GN,A,내복제,"과립제, 세립","GN, PD",1.92,g
312600AGN,tartaric acid,1.6g,복합,312600AGN,GN,A,내복제,"과립제, 세립","GN, PD",1.6,g
271700AGN,glycyrrhizinate ext.,70mg,복합,271700AGN,GN,A,내복제,"과립제, 세립","GN, PD",70.0,mg
271700AGN,magnesium aluminum metasilicate,295mg,복합,271700AGN,GN,A,내복제,"과립제, 세립","GN, PD",295.0,mg
271700AGN,pipethanate HCl,3mg,복합,271700AGN,GN,A,내복제,"과립제, 세립","GN, PD",3.0,mg
284800AGN,aluminum hydroxide gel(dried),333.3mg,복합,284800AGN,GN,A,내복제,"과립제, 세립","GN, PD",333.3,mg
284800AGN,magnesium hydroxide,333.3mg,복합,284800AGN,GN,A,내복제,"과립제, 세립","GN, PD",333.3,mg
284800AGN,simethicone,25mg,복합,284800AGN,GN,A,내복제,"과립제, 세립","GN, PD",25.0,mg
285600AGN,calcium carbonate p.p.t.,200mg,복합,285600AGN,GN,A,내복제,"과립제, 세립","GN, PD",200.0,mg
285600AGN,magcerin,400mg,복합,285600AGN,GN,A,내복제,"과립제, 세립","GN, PD",400.0,mg
285600AGN,sulcain,200mg,복합,285600AGN,GN,A,내복제,"과립제, 세립","GN, PD",200.0,mg
290000AGN,bacillus mesentericus Toa,50mg,복합,290000AGN,GN,A,내복제,"과립제, 세립","GN, PD",50.0,mg
290000AGN,clostridium butylicum toa,50mg,복합,290000AGN,GN,A,내복제,"과립제, 세립","GN, PD",50.0,mg
290000AGN,streptococcus faecalis T-110,10mg,복합,290000AGN,GN,A,내복제,"과립제, 세립","GN, PD",10.0,mg
290200AGN,bacillus polyfermenticus,250mg,복합,290200AGN,GN,A,내복제,"과립제, 세립","GN, PD",250.0,mg
290200AGN,riboflavine,0.3mg,복합,290200AGN,GN,A,내복제,"과립제, 세립","GN, PD",0.3,mg
290200AGN,thiamine nitrate,1.1mg,복합,290200AGN,GN,A,내복제,"과립제, 세립","GN, PD",1.1,mg
290500AGN,bispan,250mg,복합,290500AGN,GN,A,내복제,"과립제, 세립","GN, PD",250.0,mg
290500AGN,riboflavin,300mcg,복합,290500AGN,GN,A,내복제,"과립제, 세립","GN, PD",300.0,mcg
290500AGN,thiamine dicetylsulfate,3mg,복합,290500AGN,GN,A,내복제,"과립제, 세립","GN, PD",3.0,mg
293300AGN,plantaginis ovatae semen,520mg,복합,293300AGN,GN,A,내복제,"과립제, 세립","GN, PD",520.0,mg
293300AGN,plantaginis ovatae testa,22mg,복합,293300AGN,GN,A,내복제,"과립제, 세립","GN, PD",22.0,mg
293300AGN,sennae fructus angustifoliae powder,124mg,복합,293300AGN,GN,A,내복제,"과립제, 세립","GN, PD",124.0,mg
304600AGN,L-isoleucine,200.84mg,복합,304600AGN,GN,A,내복제,"과립제, 세립","GN, PD",200.84,mg
304600AGN,L-leucine,401.69mg,복합,304600AGN,GN,A,내복제,"과립제, 세립","GN, PD",401.69,mg
304600AGN,L-valine,241.35mg,복합,304600AGN,GN,A,내복제,"과립제, 세립","GN, PD",241.35,mg
275300AGN,amylolisin,4mg,복합,275300AGN,GN,A,내복제,"과립제, 세립","GN, PD",4.0,mg
275300AGN,bio-nattomin,60mg,복합,275300AGN,GN,A,내복제,"과립제, 세립","GN, PD",60.0,mg
275300AGN,cellulase AP3,1.63mg,복합,275300AGN,GN,A,내복제,"과립제, 세립","GN, PD",1.63,mg
275300AGN,samprose-f conc.,15mg,복합,275300AGN,GN,A,내복제,"과립제, 세립","GN, PD",15.0,mg
286300AGN,cinnamomi cortex powder,50mg,복합,286300AGN,GN,A,내복제,"과립제, 세립","GN, PD",50.0,mg
286300AGN,hydrotalcite,225mg,복합,286300AGN,GN,A,내복제,"과립제, 세립","GN, PD",225.0,mg
286300AGN,scopolia ext.,50mg,복합,286300AGN,GN,A,내복제,"과립제, 세립","GN, PD",50.0,mg
286300AGN,sodium bicarbonate,300mg,복합,286300AGN,GN,A,내복제,"과립제, 세립","GN, PD",300.0,mg
291800AGN,albumin tannate,166.7mg,복합,291800AGN,GN,A,내복제,"과립제, 세립","GN, PD",166.7,mg
291800AGN,bispan,83.3mg,복합,291800AGN,GN,A,내복제,"과립제, 세립","GN, PD",83.3,mg
291800AGN,geranii herba,33.3mg,복합,291800AGN,GN,A,내복제,"과립제, 세립","GN, PD",33.3,mg
291800AGN,pectin,53.3mg,복합,291800AGN,GN,A,내복제,"과립제, 세립","GN, PD",53.3,mg
295300AGN,diastase,200mg,복합,295300AGN,GN,A,내복제,"과립제, 세립","GN, PD",200.0,mg
295300AGN,gentiana radix powder,50mg,복합,295300AGN,GN,A,내복제,"과립제, 세립","GN, PD",50.0,mg
295300AGN,magnesium oxide,150mg,복합,295300AGN,GN,A,내복제,"과립제, 세립","GN, PD",150.0,mg
295300AGN,sodium bicarbonate,600mg,복합,295300AGN,GN,A,내복제,"과립제, 세립","GN, PD",600.0,mg
277200AGN,biodiastase-2000(위용부),25mg,복합,277200AGN,GN,A,내복제,"과립제, 세립","GN, PD",25.0,mg
277200AGN,cellulase AP3(위용부),5mg,복합,277200AGN,GN,A,내복제,"과립제, 세립","GN, PD",5.0,mg
277200AGN,newlase(위용부),15mg,복합,277200AGN,GN,A,내복제,"과립제, 세립","GN, PD",15.0,mg
277200AGN,pancreatin TA(장용부),20mg,복합,277200AGN,GN,A,내복제,"과립제, 세립","GN, PD",20.0,mg
277200AGN,prozyme-B(장용부),10mg,복합,277200AGN,GN,A,내복제,"과립제, 세립","GN, PD",10.0,mg
269000AGN,caffeine anhydrous,50mg,복합,269000AGN,GN,A,내복제,"과립제, 세립","GN, PD",50.0,mg
269000AGN,carbinoxamine maleate,4mg,복합,269000AGN,GN,A,내복제,"과립제, 세립","GN, PD",4.0,mg
269000AGN,glycyrrhizae radix ext.,66mg,복합,269000AGN,GN,A,내복제,"과립제, 세립","GN, PD",66.0,mg
269000AGN,methoxyphenamine HCl,50mg,복합,269000AGN,GN,A,내복제,"과립제, 세립","GN, PD",50.0,mg
269000AGN,noscapine,20mg,복합,269000AGN,GN,A,내복제,"과립제, 세립","GN, PD",20.0,mg
269000AGN,potassium guaiacolsulfonate,90mg,복합,269000AGN,GN,A,내복제,"과립제, 세립","GN, PD",90.0,mg
277600AGN,aluminum hydroxide gel(dried),60mg,복합,277600AGN,GN,A,내복제,"과립제, 세립","GN, PD",60.0,mg
277600AGN,calcium carbonate p.p.t.,80mg,복합,277600AGN,GN,A,내복제,"과립제, 세립","GN, PD",80.0,mg
277600AGN,dizet 100,4mg,복합,277600AGN,GN,A,내복제,"과립제, 세립","GN, PD",4.0,mg
277600AGN,magnesium carbonate,72mg,복합,277600AGN,GN,A,내복제,"과립제, 세립","GN, PD",72.0,mg
277600AGN,scopolia ext.,4mg,복합,277600AGN,GN,A,내복제,"과립제, 세립","GN, PD",4.0,mg
277600AGN,sodium bicarbonate,240mg,복합,277600AGN,GN,A,내복제,"과립제, 세립","GN, PD",240.0,mg
277700AGN,aluminum hydroxide gel(dried),60mg,복합,277700AGN,GN,A,내복제,"과립제, 세립","GN, PD",60.0,mg
277700AGN,calcium carbonate p.p.t.,80mg,복합,277700AGN,GN,A,내복제,"과립제, 세립","GN, PD",80.0,mg
277700AGN,dizet-100,4mg,복합,277700AGN,GN,A,내복제,"과립제, 세립","GN, PD",4.0,mg
277700AGN,magnesium carbonate,72mg,복합,277700AGN,GN,A,내복제,"과립제, 세립","GN, PD",72.0,mg
277700AGN,scopolia ext.,6mg,복합,277700AGN,GN,A,내복제,"과립제, 세립","GN, PD",6.0,mg
277700AGN,sodium bicarbonate,240mg,복합,277700AGN,GN,A,내복제,"과립제, 세립","GN, PD",240.0,mg
287100AGN,aluminum hydroxide gel(dried),200mg,복합,287100AGN,GN,A,내복제,"과립제, 세립","GN, PD",200.0,mg
287100AGN,cassia powder,40mg,복합,287100AGN,GN,A,내복제,"과립제, 세립","GN, PD",40.0,mg
287100AGN,glycyrrhizae radix powder,50mg,복합,287100AGN,GN,A,내복제,"과립제, 세립","GN, PD",50.0,mg
287100AGN,magnesium carbonate,120mg,복합,287100AGN,GN,A,내복제,"과립제, 세립","GN, PD",120.0,mg
287100AGN,sodium bicarbonate,450mg,복합,287100AGN,GN,A,내복제,"과립제, 세립","GN, PD",450.0,mg
287100AGN,yeast dried,100mg,복합,287100AGN,GN,A,내복제,"과립제, 세립","GN, PD",100.0,mg
292500AGN,activated lactobacillus,33mg,복합,292500AGN,GN,A,내복제,"과립제, 세립","GN, PD",33.0,mg
292500AGN,aspergillus oryse nk,166mg,복합,292500AGN,GN,A,내복제,"과립제, 세립","GN, PD",166.0,mg
292500AGN,nicotinamide,110mcg,복합,292500AGN,GN,A,내복제,"과립제, 세립","GN, PD",110.0,mcg
292500AGN,riboflavin,230mcg,복합,292500AGN,GN,A,내복제,"과립제, 세립","GN, PD",230.0,mcg
292500AGN,thiamine nitrate,330mcg,복합,292500AGN,GN,A,내복제,"과립제, 세립","GN, PD",330.0,mcg
292500AGN,yeast dried,122.8mg,복합,292500AGN,GN,A,내복제,"과립제, 세립","GN, PD",122.8,mg
278800AGN,biodiastase-2000,50mg,복합,278800AGN,GN,A,내복제,"과립제, 세립","GN, PD",50.0,mg
278800AGN,lipase-100,15mg,복합,278800AGN,GN,A,내복제,"과립제, 세립","GN, PD",15.0,mg
278800AGN,pancellase,30mg,복합,278800AGN,GN,A,내복제,"과립제, 세립","GN, PD",30.0,mg
278800AGN,pancreatin 6배품,55mg,복합,278800AGN,GN,A,내복제,"과립제, 세립","GN, PD",55.0,mg
278800AGN,panprosin-ss,20mg,복합,278800AGN,GN,A,내복제,"과립제, 세립","GN, PD",20.0,mg
278800AGN,simethicone,40mg,복합,278800AGN,GN,A,내복제,"과립제, 세립","GN, PD",40.0,mg
278800AGN,ursodeoxycholic acid,10mg,복합,278800AGN,GN,A,내복제,"과립제, 세립","GN, PD",10.0,mg
287400AGN,atractylodes rhizoma powder,300mg,복합,287400AGN,GN,A,내복제,"과립제, 세립","GN, PD",300.0,mg
287400AGN,calcium carbonate p.p.t.,150mg,복합,287400AGN,GN,A,내복제,"과립제, 세립","GN, PD",150.0,mg
287400AGN,cinnamomi cortex powder,10mg,복합,287400AGN,GN,A,내복제,"과립제, 세립","GN, PD",10.0,mg
287400AGN,glycyrrhizae radix powder,25mg,복합,287400AGN,GN,A,내복제,"과립제, 세립","GN, PD",25.0,mg
287400AGN,magnesium oxide,50mg,복합,287400AGN,GN,A,내복제,"과립제, 세립","GN, PD",50.0,mg
287400AGN,menthol,500mcg,복합,287400AGN,GN,A,내복제,"과립제, 세립","GN, PD",500.0,mcg
287400AGN,sodium bicarbonate,200mg,복합,287400AGN,GN,A,내복제,"과립제, 세립","GN, PD",200.0,mg
279700AGN,biodiastase,60mg,복합,279700AGN,GN,A,내복제,"과립제, 세립","GN, PD",60.0,mg
279700AGN,biotamilase,7.5mg,복합,279700AGN,GN,A,내복제,"과립제, 세립","GN, PD",7.5,mg
279700AGN,gentiana radix powder,37.5mg,복합,279700AGN,GN,A,내복제,"과립제, 세립","GN, PD",37.5,mg
279700AGN,magnesium aluminum metasilicate,150mg,복합,279700AGN,GN,A,내복제,"과립제, 세립","GN, PD",150.0,mg
279700AGN,nux vomica ext.,5mg,복합,279700AGN,GN,A,내복제,"과립제, 세립","GN, PD",5.0,mg
279700AGN,scopolia ext.,5mg,복합,279700AGN,GN,A,내복제,"과립제, 세립","GN, PD",5.0,mg
279700AGN,sodium bicarbonate,200mg,복합,279700AGN,GN,A,내복제,"과립제, 세립","GN, PD",200.0,mg
279700AGN,swertiae herba powder,5mg,복합,279700AGN,GN,A,내복제,"과립제, 세립","GN, PD",5.0,mg
280600AGN,amomi semen powder,173.9mg,복합,280600AGN,GN,A,내복제,"과립제, 세립","GN, PD",173.9,mg
280600AGN,borneolum,430mcg,복합,280600AGN,GN,A,내복제,"과립제, 세립","GN, PD",430.0,mcg
280600AGN,calcium carbonate,87mg,복합,280600AGN,GN,A,내복제,"과립제, 세립","GN, PD",87.0,mg
280600AGN,cinnamomi cortex powder,65.2mg,복합,280600AGN,GN,A,내복제,"과립제, 세립","GN, PD",65.2,mg
280600AGN,glycyrrhizae radix powder,21.7mg,복합,280600AGN,GN,A,내복제,"과립제, 세립","GN, PD",21.7,mg
280600AGN,magnesium carbonate,52.2mg,복합,280600AGN,GN,A,내복제,"과립제, 세립","GN, PD",52.2,mg
280600AGN,menthol,870mcg,복합,280600AGN,GN,A,내복제,"과립제, 세립","GN, PD",870.0,mcg
280600AGN,rhei rhizoma powder,73.9mg,복합,280600AGN,GN,A,내복제,"과립제, 세립","GN, PD",73.9,mg
280600AGN,sodium bicarbonate,282.6mg,복합,280600AGN,GN,A,내복제,"과립제, 세립","GN, PD",282.6,mg
287600AGN,aluminum hydroxide gel(dried),169mg,복합,287600AGN,GN,A,내복제,"과립제, 세립","GN, PD",169.0,mg
287600AGN,atractylodes rhizoma powder,100mg,복합,287600AGN,GN,A,내복제,"과립제, 세립","GN, PD",100.0,mg
287600AGN,cinnamon bark powder,100mg,복합,287600AGN,GN,A,내복제,"과립제, 세립","GN, PD",100.0,mg
287600AGN,clove powder,4mg,복합,287600AGN,GN,A,내복제,"과립제, 세립","GN, PD",4.0,mg
287600AGN,ginger powder,10mg,복합,287600AGN,GN,A,내복제,"과립제, 세립","GN, PD",10.0,mg
287600AGN,glycyrrhizae radix powder,130mg,복합,287600AGN,GN,A,내복제,"과립제, 세립","GN, PD",130.0,mg
287600AGN,magnesium carbonate,260mg,복합,287600AGN,GN,A,내복제,"과립제, 세립","GN, PD",260.0,mg
287600AGN,menthol,4.4mg,복합,287600AGN,GN,A,내복제,"과립제, 세립","GN, PD",4.4,mg
287600AGN,sodium bicarbonate,650mg,복합,287600AGN,GN,A,내복제,"과립제, 세립","GN, PD",650.0,mg
280800AGN,amomi semen powder,173.9mg,복합,280800AGN,GN,A,내복제,"과립제, 세립","GN, PD",173.9,mg
280800AGN,sodium bicarbonate,282.6mg,복합,280800AGN,GN,A,내복제,"과립제, 세립","GN, PD",282.6,mg
280800AGN,borneolum,430mcg,복합,280800AGN,GN,A,내복제,"과립제, 세립","GN, PD",430.0,mcg
280800AGN,calcium carbonate,87mg,복합,280800AGN,GN,A,내복제,"과립제, 세립","GN, PD",87.0,mg
280800AGN,cinnamomi cortex powder,65.2mg,복합,280800AGN,GN,A,내복제,"과립제, 세립","GN, PD",65.2,mg
280800AGN,glycyrrhizae radix powder,21.7mg,복합,280800AGN,GN,A,내복제,"과립제, 세립","GN, PD",21.7,mg
280800AGN,magnesium carbonate,52.2mg,복합,280800AGN,GN,A,내복제,"과립제, 세립","GN, PD",52.2,mg
280800AGN,menthol,870mcg,복합,280800AGN,GN,A,내복제,"과립제, 세립","GN, PD",870.0,mcg
280800AGN,phenobarbital,5.22mg,복합,280800AGN,GN,A,내복제,"과립제, 세립","GN, PD",5.22,mg
280800AGN,rhei rhizoma powder,73.9mg,복합,280800AGN,GN,A,내복제,"과립제, 세립","GN, PD",73.9,mg
287800AGN,aldioxa,100mg,복합,287800AGN,GN,A,내복제,"과립제, 세립","GN, PD",100.0,mg
287800AGN,soluble azulene,2mg,복합,287800AGN,GN,A,내복제,"과립제, 세립","GN, PD",2.0,mg
287800AGN,aluminium magnesium silicate,233.3mg,복합,287800AGN,GN,A,내복제,"과립제, 세립","GN, PD",233.3,mg
287800AGN,biodiastase-2000,30mg,복합,287800AGN,GN,A,내복제,"과립제, 세립","GN, PD",30.0,mg
287800AGN,crude glycyrrhiza extract,50mg,복합,287800AGN,GN,A,내복제,"과립제, 세립","GN, PD",50.0,mg
287800AGN,hops dried extract,16.7mg,복합,287800AGN,GN,A,내복제,"과립제, 세립","GN, PD",16.7,mg
287800AGN,hydrotalcite,433.3mg,복합,287800AGN,GN,A,내복제,"과립제, 세립","GN, PD",433.3,mg
287800AGN,lipase AP6,15mg,복합,287800AGN,GN,A,내복제,"과립제, 세립","GN, PD",15.0,mg
287800AGN,powdered cinnamon bark,173.3mg,복합,287800AGN,GN,A,내복제,"과립제, 세립","GN, PD",173.3,mg
287800AGN,scopolia extract powder,30mg,복합,287800AGN,GN,A,내복제,"과립제, 세립","GN, PD",30.0,mg
281100AGN,biodiastase 1000,60mg,복합,281100AGN,GN,A,내복제,"과립제, 세립","GN, PD",60.0,mg
,calcium carbonate,120mg,복합,281100AGN,GN,A,내복제,"과립제, 세립","GN, PD",120.0,mg
,glycyrrhizic acid,13.33mg,복합,281100AGN,GN,A,내복제,"과립제, 세립","GN, PD",13.33,mg
,magnesium alumino metasilicate,250mg,복합,281100AGN,GN,A,내복제,"과립제, 세립","GN, PD",250.0,mg
,magnesium oxide,30mg,복합,281100AGN,GN,A,내복제,"과립제, 세립","GN, PD",30.0,mg
,powdered cinnamon bark,100mg,복합,281100AGN,GN,A,내복제,"과립제, 세립","GN, PD",100.0,mg
,powdered gentian,20mg,복합,281100AGN,GN,A,내복제,"과립제, 세립","GN, PD",20.0,mg
,powdered ginger,30mg,복합,281100AGN,GN,A,내복제,"과립제, 세립","GN, PD",30.0,mg
,powdered phellodendran bark,20mg,복합,281100AGN,GN,A,내복제,"과립제, 세립","GN, PD",20.0,mg
,scopolia ext.(3배산),30mg,복합,281100AGN,GN,A,내복제,"과립제, 세립","GN, PD",30.0,mg
,sodium bicarbonate,400mg,복합,281100AGN,GN,A,내복제,"과립제, 세립","GN, PD",400.0,mg
281000AGN,calcium carbonate p.p.t.,100mg,복합,281000AGN,GN,A,내복제,"과립제, 세립","GN, PD",100.0,mg
,powdered eanthoxylum fruit,500mcg,복합,281000AGN,GN,A,내복제,"과립제, 세립","GN, PD",500.0,mcg
,scopolia ext.,7.5mg,복합,281000AGN,GN,A,내복제,"과립제, 세립","GN, PD",7.5,mg
,sodium bicarbonate,150mg,복합,281000AGN,GN,A,내복제,"과립제, 세립","GN, PD",150.0,mg
,zingiberis rhizoma powder,12.2mg,복합,281000AGN,GN,A,내복제,"과립제, 세립","GN, PD",12.2,mg
,caryophylli flos powder,5mg,복합,281000AGN,GN,A,내복제,"과립제, 세립","GN, PD",5.0,mg
,cinnamomi cortex powder,37mg,복합,281000AGN,GN,A,내복제,"과립제, 세립","GN, PD",37.0,mg
,coptidis powder,25mg,복합,281000AGN,GN,A,내복제,"과립제, 세립","GN, PD",25.0,mg
,diastase,165mg,복합,281000AGN,GN,A,내복제,"과립제, 세립","GN, PD",165.0,mg
,foeniculi fructus powder,10mg,복합,281000AGN,GN,A,내복제,"과립제, 세립","GN, PD",10.0,mg
,glycyrrhizae radix powder,59mg,복합,281000AGN,GN,A,내복제,"과립제, 세립","GN, PD",59.0,mg
,menthol,1mg,복합,281000AGN,GN,A,내복제,"과립제, 세립","GN, PD",1.0,mg
,neusilin A,200mg,복합,281000AGN,GN,A,내복제,"과립제, 세립","GN, PD",200.0,mg
296700AGN,aluminum magnesium silicate,266.7mg,복합,296700AGN,GN,A,내복제,"과립제, 세립","GN, PD",266.7,mg
,menthol,2mg,복합,296700AGN,GN,A,내복제,"과립제, 세립","GN, PD",2.0,mg
,phellodendri corticis pulvis,23.3mg,복합,296700AGN,GN,A,내복제,"과립제, 세립","GN, PD",23.3,mg
,sodium bicarbonate,200mg,복합,296700AGN,GN,A,내복제,"과립제, 세립","GN, PD",200.0,mg
,takadiastase N1,33.3mg,복합,296700AGN,GN,A,내복제,"과립제, 세립","GN, PD",33.3,mg
,zingiberis rhizoma powder,16.7mg,복합,296700AGN,GN,A,내복제,"과립제, 세립","GN, PD",16.7,mg
,calcium carbonate p.p.t.,100mg,복합,296700AGN,GN,A,내복제,"과립제, 세립","GN, PD",100.0,mg
,caryophylli flos powder,6.7mg,복합,296700AGN,GN,A,내복제,"과립제, 세립","GN, PD",6.7,mg
,cinnamomi cortex powder,50mg,복합,296700AGN,GN,A,내복제,"과립제, 세립","GN, PD",50.0,mg
,foeniculi fructus powder,13.3mg,복합,296700AGN,GN,A,내복제,"과립제, 세립","GN, PD",13.3,mg
,glycyrrhizae radix powder,33.3mg,복합,296700AGN,GN,A,내복제,"과립제, 세립","GN, PD",33.3,mg
,hydrotalcite,100mg,복합,296700AGN,GN,A,내복제,"과립제, 세립","GN, PD",100.0,mg
,lacbon original powder,10mg,복합,296700AGN,GN,A,내복제,"과립제, 세립","GN, PD",10.0,mg
,lipase AP3,26.7mg,복합,296700AGN,GN,A,내복제,"과립제, 세립","GN, PD",26.7,mg
100102ACH,상황균사체엑스,550mg,단일,100102ACH,CH,A,내복제,경질캡슐제,"TB, CH, CS",550.0,mg
100301ACH,코노데옥시콜린산과 우르소데스콜린산의 3수 마그네슘2,250mg,단일,100301ACH,CH,A,내복제,경질캡슐제,"TB, CH, CS",250.0,mg
100701ACH,acebrophylline,100mg,단일,100701ACH,CH,A,내복제,경질캡슐제,"TB, CH, CS",100.0,mg
100801ACH,acebutolol HCl,222mg,단일,100801ACH,CH,A,내복제,경질캡슐제,"TB, CH, CS",222.0,mg
101001ACH,acemetacin,60mg,단일,101001ACH,CH,A,내복제,경질캡슐제,"TB, CH, CS",60.0,mg
101801ACH,acetylcysteine,100mg,단일,101801ACH,CH,A,내복제,경질캡슐제,"TB, CH, CS",100.0,mg
101804ACH,acetylcysteine,200mg,단일,101804ACH,CH,A,내복제,경질캡슐제,"TB, CH, CS",200.0,mg
102201ACH,acipimox,250mg,단일,102201ACH,CH,A,내복제,경질캡슐제,"TB, CH, CS",250.0,mg
102301ACH,acitretin,10mg,단일,102301ACH,CH,A,내복제,경질캡슐제,"TB, CH, CS",10.0,mg
102501ACH,aclatonium napdisilate,25mg,단일,102501ACH,CH,A,내복제,경질캡슐제,"TB, CH, CS",25.0,mg
102502ACH,aclatonium napdisilate,50mg,단일,102502ACH,CH,A,내복제,경질캡슐제,"TB, CH, CS",50.0,mg
102601ACH,acrivastine,8mg,단일,102601ACH,CH,A,내복제,경질캡슐제,"TB, CH, CS",8.0,mg
102904ACH,acyclovir,200mg,단일,102904ACH,CH,A,내복제,경질캡슐제,"TB, CH, CS",200.0,mg
104002ACH,aesculus hippocastanum L. seeds ext.,25mg,단일,104002ACH,CH,A,내복제,경질캡슐제,"TB, CH, CS",25.0,mg
104004ACH,aesculus hippocastanum L. seeds ext.,50mg,단일,104004ACH,CH,A,내복제,경질캡슐제,"TB, CH, CS",50.0,mg
106101ACH,amantadine HCl,100mg,단일,106101ACH,CH,A,내복제,경질캡슐제,"TB, CH, CS",100.0,mg
106301ACH,ambroxol HCl,30mg,단일,106301ACH,CH,A,내복제,경질캡슐제,"TB, CH, CS",30.0,mg
106304ACH,ambroxol HCl,75mg,단일,106304ACH,CH,A,내복제,경질캡슐제,"TB, CH, CS",75.0,mg
106601ACH,amfenac sodium,50mg,단일,106601ACH,CH,A,내복제,경질캡슐제,"TB, CH, CS",50.0,mg
108101ACH,amoxicillin,250mg,단일,108101ACH,CH,A,내복제,경질캡슐제,"TB, CH, CS",250.0,mg
108103ACH,amoxicillin,500mg,단일,108103ACH,CH,A,내복제,경질캡슐제,"TB, CH, CS",500.0,mg
